open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,changeVl
21.61,22.48,22.08,21.61,86207.58,0.45,2.08,21.878,21.713,21.12,80610.11,75255.36,70608.28,2.16,1
21.52,21.87,21.63,21.52,26001.91,0.1,0.46,21.638,21.683,20.974,76783.04,79973.9,66824.08,0.65,1
21.82,21.93,21.53,21.5,42925.61,-0.4,-1.82,21.578,21.643,20.848,82005.04,85656.86,66126.39,1.07,-1
22.08,22.18,21.93,21.61,79111.58,-0.29,-1.3,21.59,21.569,20.729,81236.19,87121.34,64559.61,1.98,-1
20.99,22.82,22.22,20.89,168803.86,1.34,6.42,21.522,21.421,20.589,81515.44,83049.55,61646.35,4.22,1
21.35,21.39,20.88,20.73,67072.25,-0.45,-2.11,21.548,21.266,20.409,69900.6,70333.17,54293.51,1.68,-1
21.7,21.7,21.33,21.22,52111.92,-0.26,-1.2,21.728,21.243,20.298,83164.76,70394.37,51850.11,1.3,-1
21.46,21.8,21.59,21.3,39081.32,0.0,0.0,21.708,21.199,20.164,89308.67,76643.83,50400.44,0.98,0
22.17,22.26,21.59,21.42,80507.85,-0.76,-3.4,21.548,21.085,20.008,93006.49,83098.76,51114.63,2.01,-1
21.57,22.38,22.35,21.5,110729.67,0.57,2.62,21.32,20.843,19.926,84583.65,75875.47,48522.38,2.77,1
21.5,22.29,21.78,21.3,133393.03,0.55,2.59,20.984,20.527,19.829,70765.74,65961.21,45763.99,3.34,1
20.75,21.49,21.23,20.7,82831.5,0.44,2.12,20.758,20.265,19.742,57623.98,53674.25,40894.18,2.07,1
20.38,20.98,20.79,20.27,57570.38,0.34,1.66,20.69,20.053,19.691,63978.98,46595.91,38408.63,1.44,1
20.72,20.81,20.45,20.42,38393.69,-0.22,-1.06,20.622,19.889,19.671,73191.03,41997.88,38265.58,0.96,-1
20.52,20.82,20.67,20.42,41640.09,0.02,0.1,20.366,19.756,19.658,67167.29,40243.14,40213.55,1.04,1
20.55,21.1,20.65,20.3,67684.26,-0.24,-1.15,20.07,19.552,19.628,61156.68,38253.84,41939.04,1.69,-1
19.97,21.2,20.89,19.68,114606.5,0.44,2.15,19.772,19.352,19.584,49724.52,33305.85,40615.63,2.87,1
19.35,21.09,20.45,19.35,103630.6,1.28,6.68,19.416,19.128,19.513,29212.84,24157.05,36400.21,2.59,1
19.13,19.28,19.17,18.81,8275.0,-0.02,-0.1,19.156,18.93,19.458,10804.74,19130.51,34051.54,0.21,-1
